time,0_SV-2,1_SV-5,2_SV-6,3_SV-7,4_HV-NM1,5_HV-NM2,6_고압콘덴샤,7_신재생에너지동,8_대학B동,9_대학기숙사A동,10_제2학생회관,11_학사P/P,12_교원아파트,13_대학C동,14_중앙연구기기센터,15_대학A동,16_다산빌딩,17_산학협력연구동,18_신재생에너지동(E),19_대학B동(E),20_대학기숙사A동(E),21_학사P/P(E),22_제2학생회관(E),23_교원아파트(E),24_대학C동(E),25_중앙연구기기센터(E),26_대학A동(E),27_다산빌딩(E),28_산학협력연구동(E),29_SV-2,30_SV-5,31_SV-6,32_HV-M1,33_HV-M2,34_HV-NM,35_HV-EM,36_중앙P/P,37_전기전자컴퓨터공학동,38_신소재공학동,39_생명과학동,40_기계공학동,41_LG도서관,42_창업B동,43_금호관,"44_냉각수순환펌프1,2,3","45_냉각수순환펌프4,5,6",46_기혼자아파트E동,47_기숙사9동,48_고등광/극초단,49_신소재공학동(E),50_전기전자컴퓨터공학동(E),51_생명과학동(E),52_기계공학동(E),53_LG도서관(E),54_중앙P/P(E),55_고등광연구소(E),Total
0,2247.9,2276.7,0,2241,0,2229.6,748.2,884.1,226.5,179,66.7,61.6,54,204.8,332.3,29.8,536.1,0,105.7,43.3,43.7,40.9,26.6,24.1,29.1,52.6,29.7,61.2,18.5,3505.2,2211.1,1369.6,2211.8,1374.5,1789.7,432.1,185.2,435.7,411.7,449.5,112.7,229.8,21.9,51.5,0,0,305.5,61.8,808.3,39.6,131.4,94.3,16.3,40.6,97.5,69.5,29250.5
1,2196.8,2204.4,0,2172.1,0,2191.5,715.5,909.9,219.4,160.1,57.3,58.1,48.5,193.6,310.5,30.4,538.7,0,88.9,32.5,36.3,45.8,25.2,35.2,15.2,51.6,17,43.8,18,3418.1,2183.2,1327.6,2172.3,1324.3,1807.1,424.3,149.6,419.1,404.6,474.8,107.2,235.8,25.1,50.8,0,0,268,55.6,788.8,39.8,129.8,91.3,7.1,35.3,73.6,64,28493.5
2,2088.2,2097.8,0,2057.4,0,2045.7,725.7,883.4,205.9,119.9,68,60.6,41.2,198.1,299.1,26.4,532,0,84.8,27.2,37.1,36.9,24.7,14.9,28.4,51.6,14.2,36.5,18.7,3350.3,2107.9,1286.1,2118.1,1292.2,1728,400.9,134,419,404.6,437.8,106.9,225,25.5,50.4,0,0,248.9,49.6,790.3,31.9,131.7,92.2,6.9,35.3,64.4,62.3,27424.6
3,2044.1,2018,0,1986.8,0,2004.6,715,850.7,215.8,105.5,62,59,37.8,197.5,302.4,31,518.8,0,84.1,28.9,26.4,36.6,25.6,22,14.6,51.7,16.7,41.6,18.1,3252.1,2069.6,1236,2070.4,1232.7,1684.2,394.2,145.3,427.8,398.5,423.4,103.7,219,38,51.8,0,0,232,42,761.4,31.4,129.1,89.6,7,34.3,64.4,61.6,26714.8
4,2028.9,2018.9,0,1975.1,0,1965.6,723,860.1,207.3,107.1,55.8,61.1,38.3,192.8,302.8,30.2,510.5,0,80.6,26.3,35.6,37.9,24.3,18.5,14,51.7,14,34.3,18.3,3218.6,2066.3,1224.6,2069,1225.2,1676.4,403.6,150.1,409.1,394,425.3,103.6,202,35.2,51.8,0,0,217.5,37.1,743.9,31.9,129.9,90.1,6.1,33.8,59.1,60.7,26497.9
5,2115.9,2108,0,2078.8,0,2068,745.4,844.3,206.2,101,156.8,67.5,40.3,189.9,317.2,28.7,503.6,0,83.1,28.4,32.3,37.5,32,23.1,13.9,50.8,16.5,41.1,18.5,3192.8,2060.7,1213.4,2055.9,1206.6,1694.5,383.5,135.3,416.6,392.5,419.6,102.2,220.7,30.2,51.3,0,0,210.2,37,747.9,30.9,128.3,92,6.4,32.4,54.3,59,26923
6,2132.4,2123.7,0,2087.5,0,2078.9,712.9,862.2,212,108.4,163.8,62.4,44.3,190.1,312.2,40,506.3,0,97.7,40.7,37.4,28.4,36.6,22.6,13.8,52.8,25.7,45.6,20.1,3182.2,2039.8,1198.2,2047.6,1197,1667.8,408.9,108.5,394.2,385.4,471.1,102.5,209.1,28.7,49.8,0,0,220.5,39.2,737.8,32,128.2,100.7,6,32.3,75.5,57.1,26978.6
7,2131.3,2134.6,0,2099.1,0,2110.7,729.6,855.7,224,104.7,174.2,60.8,62.7,206.2,291.5,49.4,511.1,0,91.3,43.1,24,30.1,48.6,32.6,14.6,63.7,31,44.3,20.7,3329.3,2143.4,1235.7,2136.1,1240.7,1668.8,496.8,107.8,416.6,376.3,464.7,115.7,208.3,32.6,58.5,0,0,260.7,41.1,754.4,37.7,130,125.3,17.3,55.1,117.3,89.4,27849.2
8,2435.5,2456.1,0,2414.4,0,2420.6,707.1,978.1,297.4,119,209.3,78.5,56.7,208.6,280,84.3,558.9,0,130,53.9,59.3,31.9,33.8,45.1,31.1,56.9,28.2,72.6,28.1,3730.2,2447.7,1316.3,2464,1318.3,1897.9,601.7,118.9,410.8,401.1,558.5,179.1,239.6,24.7,76,0,0,293,60.8,786.1,43.9,144.4,157.6,20.3,74.7,117.2,85.9,31444.1
9,2585.3,2587.1,0,2574.1,0,2554.7,668.3,1064,333.9,135.6,205.1,68.5,52,216.6,270,100.8,629.9,15,154.6,53.9,46.6,30.7,39.3,50.7,33.1,70.7,20.2,83.8,22.5,3899.2,2566.4,1415.2,2591.3,1408.7,1955.6,659.3,109.1,436.3,434,567.6,177.4,235.9,35.3,66.9,0,0,328.6,70.4,843.3,46,155.5,182.4,21.9,81.9,129.2,107.7,33192.1
