Time,0_SV-2,1_SV-5,2_SV-6,3_SV-7,4_HV-NM1,5_HV-NM2,6_고압콘덴샤,7_신재생에너지동,8_대학B동,9_대학기숙사A동,10_제2학생회관,11_학사P/P,12_교원아파트,13_대학C동,14_중앙연구기기센터,15_대학A동,16_다산빌딩,17_산학협력연구동,18_신재생에너지동(E),19_대학B동(E),20_대학기숙사A동(E),21_학사P/P(E),22_제2학생회관(E),23_교원아파트(E),24_대학C동(E),25_중앙연구기기센터(E),26_대학A동(E),27_다산빌딩(E),28_산학협력연구동(E),29_SV-2,30_SV-5,31_SV-6,32_HV-M1,33_HV-M2,34_HV-NM,35_HV-EM,36_중앙P/P,37_전기전자컴퓨터공학동,38_신소재공학동,39_생명과학동,40_기계공학동,41_LG도서관,42_창업B동,43_금호관,"44_냉각수순환펌프1,2,3","45_냉각수순환펌프4,5,6",46_기혼자아파트E동,47_기숙사9동,48_고등광/극초단,49_신소재공학동(E),50_전기전자컴퓨터공학동(E),51_생명과학동(E),52_기계공학동(E),53_LG도서관(E),54_중앙P/P(E),55_고등광연구소(E),Total
0,2364.57594282627,2355.79722208977,-0.0023270882666111,2326.88167032599,0.00724304839968681,2318.4474606961,716.95288721323,974.2064412117,256.917787665129,168.887097465992,60.3514445103705,64.1357398986816,86.1545972585678,181.487172222137,343.310431551933,34.2920383051038,555.688562721014,-4.45731638632715,99.5790386676788,32.0641988515854,42.0574625313282,48.9097365319729,28.7611315965652,25.238731855154,17.4539907991886,49.279482460022,17.7064087122679,54.0381558895111,17.3148538049311,3671.85861606598,2287.97674013972,1441.11900969744,2295.01753933132,1439.21735959053,1912.26341919303,405.571505989134,189.894249022007,423.834252536297,429.620909377933,487.326376783848,123.728081393242,279.946111392975,26.2777173042297,52.2299298360944,12.8982327081263,16.6765084899962,368.964746904373,68.6192958831787,828.654373958707,35.7011351466179,122.81726154834,97.1769595980644,11.7213278532028,35.3946625061333,80.9550292059779,53.3562008231878,30434.8548395157
1,2312.65880379677,2286.27200220227,0.00690344953909516,2262.97174964547,-0.0062774270772934,2275.15130842924,700.837628191709,979.059066319466,255.488339689374,150.710282433033,66.0975637421012,67.739015007019,70.5014284729957,181.899331521988,338.943964290619,33.0640962004662,547.308994215727,-6.35910529866815,95.4506000757217,34.1757850646973,41.1437673747539,40.4812535822392,27.3028731137514,30.2724291920662,18.0071143627167,48.7937022209167,17.7020896017551,50.0329978227615,17.9914870865643,3602.652946949,2231.32523922622,1403.06117520332,2268.01094710231,1398.90595082045,1882.82606455982,403.737341358513,167.802133083344,414.718336910009,427.921280294657,480.243587878346,123.464955016971,266.355274295807,30.3143329143524,53.1979830980301,23.5375018715858,25.786037800461,331.453967213631,60.6249362945557,825.059669023752,34.9731770217419,120.84344535321,98.8404906988144,11.3483616650105,32.4636713296175,72.615752042085,54.2868855506182,29790.0706389562
2,2225.91637868881,2239.0969990015,-0.00479787588119507,2205.65393821597,0.00947845354676247,2194.72813729048,649.721309238672,951.898320031166,251.039518001676,134.044235798717,64.4840058207512,59.4497162342072,63.6446256995201,187.010973966122,331.717200922966,31.3192394673824,522.362342303991,-0.783060312643647,90.9477489352226,33.023734331131,37.2915353477001,40.6266972780228,26.5855036571622,25.0263697445393,17.0256946563721,51.3609243392944,17.0205362796783,43.4586362123489,17.7269107498229,3427.73075229079,2187.39231663495,1320.55572841764,2213.65830078125,1293.26945112348,1804.60913117826,384.819876502454,140.438237920404,408.105938738585,420.007555797696,496.809933060408,110.798155339062,257.37152762413,24.9595180273056,52.5822457417846,-12.5924827247858,-0.514323475211859,305.386483836174,49.6385978698731,822.897233521938,33.0421805351973,118.934275443852,96.8628256797791,8.32652497887611,36.9364854998886,62.0672818150371,53.8349107950926,28629.3315154321
3,2201.00814781189,2204.93087894916,0.00489464402198792,2171.72321939468,0.0128370225429535,2183.75020368397,704.080064123869,947.38169066906,250.604768353701,129.927383098006,64.4464788936079,60.6456140041351,65.3547251105309,182.463042104244,318.909409868717,35.6285060286522,530.410185712576,0.0798353552352637,86.1313104271889,31.6333587169647,37.0537843346596,42.4306398838758,26.7453363344073,17.286963441968,16.449296349287,48.0267795085907,16.670147882402,41.3833736896515,16.8082371294499,3419.15895752162,2175.3950708881,1309.43575055599,2171.33366278708,1302.28881959915,1800.86347352266,400.20965166688,145.469558849931,397.772842007876,409.982049718499,461.850040394068,110.908032348752,257.013583183289,26.2096374750137,53.2402524590492,-5.51834540739656,6.96510942392051,289.363937211037,47.0669937133789,791.057001128793,33.0203959912062,117.512164995074,101.768484938145,6.65179710388184,38.8076449543238,71.1716711871326,53.3778859719634,28424.3572367165
4,2207.7377751112,2240.9381695509,-0.0013389615342021,2154.57148935199,-0.00747573189437389,2160.49119966924,736.149314767122,953.493084621429,248.478224670887,121.332796189189,90.5179349124432,68.725003528595,62.158026945591,185.006227815151,334.282414090633,38.5645564347506,535.138699835539,-0.0256432425230741,85.280881768465,28.1975849866867,30.631217700243,42.8148531287909,30.2036170244217,20.0081064343453,20.6190961420536,46.8869379520416,13.3404788009822,42.2803182125092,17.4313577126712,3386.52050072849,2147.62520509809,1289.18700246215,2162.92278263122,1275.65235868692,1796.54024289846,380.430179110914,148.104680210352,403.413635101914,414.139979809523,475.518480804563,112.736734421551,250.36144862175,28.2393779277802,54.9416408032179,-0.871178316324949,11.7617835432291,279.18507797718,47.964080619812,802.785142347217,31.9970878466964,118.923948028684,97.2112156450748,4.76881592273712,37.8614776194096,76.3922339521349,55.1998731940985,28404.7587171188
5,2239.59466612339,2250.19177107215,0.00638236664235592,2219.13056464791,-0.003546092659235,2208.61935905814,716.873214709759,926.372244954109,255.566234412789,120.341148424149,160.968255957961,69.9217783927918,59.141571521759,180.178744745255,321.236356401443,37.6625169724226,523.773743307591,-2.01608514413238,87.9177704572678,34.3645627498627,30.0310501873493,35.0913795918226,38.2432449519634,25.6163213193417,20.4605499744415,45.1099594593048,15.8230435088277,43.7709739208221,18.6218811407685,3336.23792502582,2119.21426492333,1194.82914242148,2127.94852367938,1204.43054293394,1756.91491552293,365.207120969146,114.71314497292,403.893656122685,412.910898566246,471.938671392202,109.859357100725,237.941118121147,31.6867689013481,52.9872158378363,-47.0419289052487,-23.3875287517905,266.937247765064,44.2491662025452,796.782217699289,32.6023271664977,117.053975676,93.2642720878124,5.01425772607326,31.9537014260888,67.6398772142828,55.4949248194694,28063.8854357105
6,2247.78628852367,2268.39482412934,-9.94773581624031E-05,2254.02776151299,-0.00320263532921672,2238.98021015525,745.812489402294,907.93239556551,262.248732736707,114.704492110014,179.814205718041,62.0766735553741,63.5180173039436,185.432175147533,326.561043691635,45.0277738511562,516.040394037962,-11.0300777457655,89.4207107067108,38.2457897663116,26.4379933655262,24.0451170906424,39.4746504366398,28.4822984576225,21.3761964082718,43.8068464756012,20.146210706234,44.1072672128677,19.5187944114208,3209.15857175589,2121.48414544314,1178.46056908071,2121.45702316761,1154.93501877785,1716.09279825985,394.427042196691,94.1169364303351,397.761111745238,406.412860676646,498.846737870574,107.481869271398,244.35749361515,25.6754853844643,51.2500869512558,-52.6571589678526,-13.8594832494855,263.118067145348,40.3026496887207,794.451516819,34.3146036207676,115.6712664783,99.380433177948,11.570120537281,43.2211206048727,73.0311623081565,63.0497474521398,27995.8977688628
7,2428.57503778934,2447.12629805207,-0.000287393922917545,2432.66521756053,-0.00256450194865465,2446.18357638717,732.127028137445,976.015461349487,288.669530087709,120.117533090711,187.287812012434,72.2461657524109,77.8518866062164,205.288118505478,318.822293972969,69.1730443120003,538.106231284142,-22.7265263020992,103.349028968811,42.658490896225,32.5096121311188,33.5665081202984,35.3166625499725,33.4927431285381,32.7584741830826,50.4673143386841,22.3731038093567,54.7906173229218,21.912407335639,3869.03245372772,2437.07180069685,1472.51984552145,2443.33499594927,1472.10059998035,1921.97875527144,539.740127998591,124.234524294734,412.971259394288,419.689164832234,531.746882528067,138.536655476689,275.40194363594,34.4661990523338,59.4467676043511,105.81531611681,97.5130958735943,318.013777637482,52.4469179153442,817.588856184483,35.7365255177021,120.842068509758,140.408198928833,15.8979456424713,65.7969441413879,123.139858275652,73.0761245667934,31899.2684247614
8,2723.2908700943,2717.51309270859,0.000912733376026154,2665.73186414242,0.00570689281448722,2688.11930118799,679.276123440266,1101.56633172035,358.12735054493,128.204324546456,222.535553020239,81.6793697357178,82.1722934007645,221.511539053917,318.156287741661,92.921720290184,595.422642308474,-15.3545369356871,130.728891420364,48.7708787918091,39.6740249454975,39.4953634560108,40.7455898582935,43.5966001987457,34.1732084035873,60.3839698791504,26.2320111811161,73.2402208328247,23.8190415114164,4638.30031785369,2873.42910448909,1845.71467590332,2883.91784354448,1854.58625769615,2272.01917697191,641.146931397915,181.900459617376,436.811602002382,466.670350790024,610.342295783758,215.886776053905,324.586902809143,46.2635777711868,72.3359493255615,225.443357849121,151.217768913508,375.87310256958,69.0442401885986,912.12399636507,43.7614069104195,131.001385688782,184.173910355568,17.8586272001267,80.2542492747307,154.864232006669,98.037529695034,37029.3065761327
9,2920.89326415062,2908.73311294317,0.000440416857600212,2873.1354121089,-0.00451407209038734,2869.75291183591,673.06428475976,1198.82954883575,413.186484330893,131.577664899826,239.136777961254,81.2479787826538,74.7347040295601,227.70055770874,330.135262513161,108.549554610252,652.77092795372,-7.17148639038205,152.824354565144,53.4282751083374,38.2985331058502,34.4150027602911,45.0595610380173,38.9379533171654,37.1752390027046,65.4026084899902,28.1113811850548,89.2013857841492,23.475944185257,4941.07871078253,3061.55971834063,1951.45422816277,3059.164005512,1962.1114562273,2438.18523089886,681.280920553207,182.904362440109,473.531630146504,512.803484022617,691.287569326162,242.022112607956,343.517784690857,57.3663194894791,75.3012802004814,228.950819134712,129.284986305237,364.748639345169,71.5346073150635,1025.10211571455,51.240017080307,139.234547895193,200.667445015907,22.3764887809753,80.8327293217182,139.780986064673,117.401913571358,39547.3272348668
