time,LG도서관,기숙사B동,다산빌딩,대학C동,동물실험동,산업협력관,삼성환경동,시설관리동,신재생에너지동,중앙도서관,중앙창고,축구장,학사과정,학생회관,Total
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1.6,0.1,0.4,0.59999996,1.6,0,0,0.7,0,0,0,0,0.4,5.39999996
8,5.2,13.499999,3.9,2,4.8999996,13.499999,7.3,9.2,8.900001,3.8,3.3000002,8.3,3,5.5,92.2999988
9,3.7,11.1,2.7,1.6,3.8000002,11.1,5.3,6.2999997,6.8,2.7,2.2,6.6000004,2.6,3.8,70.3000003
10,12.8,35.5,11.2,4.6,12.4,35.5,18.7,25.6,21.4,9.4,8.6,27.900002,7.9,14.000001,245.500003
11,15.599999,42.8,13.6,5.5,14.9,42.8,22.6,31.2,25.699999,11.4,10.7,33.8,9.6,17,297.199998
12,14.8,40.4,12.6,5,13.400001,40.4,21.2,29.2,24.199999,10.9,9.8,24.7,8.7,15.8,271.1
13,14.9,39,12.3,5.1,13.599999,39,20.8,28.7,24.199999,10.8,9.7,28.599998,9.4,15.599999,271.699995
14,16.3,52.8,18.5,6.7999997,14.1,52.8,32.5,20.699999,33.5,10.8,6.8,16.4,5.2999997,10.8,298.0999984
15,32.199997,83,28.4,11.1,27.9,83,46.2,44,50.600002,23.5,16.2,55.5,8.4,30.699999,540.699998
16,20.7,43.5,19.1,7.0999994,17,43.5,28.8,42.999996,31,16.1,11.1,29.8,4.7,18.6,333.9999954
17,4.2999997,12.099999,3.5,1.6999999,4.3,12.099999,6.3,7.6,7.6,3.2,2.3,7.2999997,1,4.6,77.8999973
18,0.9,3.3,0.4,0.6,1.1999999,3.3,0.9,1,0.90000004,0.8,0.3,0.7,0,0.9,15.19999994
19,0,0,0.4,0,0,0,0,0,0.5,0,0,0,0,0,0.9
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
