time,LG도서관,기숙사B동,다산빌딩,대학C동,동물실험동,산업협력관,삼성환경동,시설관리동,신재생에너지동,중앙도서관,중앙창고,축구장,학사과정,학생회관,Total,,,,,,,,,,,,,,,total
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
8,10.147711,30.526011,7.9052785,3.5479637,7.2723039,26.48904,16.582675,21.448228,19.179852,6.6340957,6.0173063,8.736729,3.1712807,6.314306,173.9727808,,,,,,,,,,,,,,,
9,10.0624694,30.507292,6.8970562,3.4978463,9.5156117,23.141628,16.5850465,21.446051,19.263735,8.0916698,6.5145969,8.071283,4.6304181,11.83169,180.0563939,,,,,,,,,,,,,,,
10,11.0241325,30.524804,7.6470614,3.6660409,9.7170692,20.83599,16.534165,21.384944,19.1052325,6.9947186,5.9264365,15.037165,3.8588777,12.882327,185.1389643,,,,,,,,,,,,,,,
11,10.9939933,30.4636385,7.4025335,3.7025113,9.878101,27.42503,16.481708,21.333218,18.96088,6.9365018,6.1167905,15.260077,4.3003673,13.786166,193.0415162,,,,,,,,,,,,,,,
12,10.345336,30.522122,7.0081693,3.4179291,9.0607791,25.080046,16.473133,21.326123,19.050508,6.8279923,5.9753942,17.127863,3.5028502,16.1144175,191.8326627,,,,,,,,,,,,,,,
13,10.4132361,30.46721,7.4884899,3.1668688,8.3716864,25.656175,16.438281,21.248782,19.021945,7.5714059,6.0645551,24.8830376,3.179922,17.5268102,201.498405,,,,,,,,,,,,,,,
14,10.913815,30.417672,7.990005,3.5690643,7.4980506,23.574681,16.473266,21.306847,18.947155,7.407345,6.7419366,20.3840543,3.94545,17.7265286,196.8958704,,,,,,,,,,,,,,,
15,36.2505897,107.202007,26.2768401,12.9611968,31.1753933,92.00125,58.328968,75.4264545,67.118716,25.6589272,21.4524268,37.6281263,13.0835527,26.20331332,630.76776172,,,,,,,,,,,,,,,
16,10.471599,30.7104555,7.6675362,3.7264528,8.7349582,29.1244115,16.6451845,21.52847,19.077513,8.294465,6.0055173,19.8766898,5.400351,11.692477,198.9560808,,,,,,,,,,,,,,,
17,11.0503637,30.76427,7.5313104,3.5131073,9.9324031,23.1273205,16.677741,21.571101,19.3453025,5.7139516,5.7381618,7.8388276,3.9685211,6.2749987,173.0473803,,,,,,,,,,,,,,,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
